posicion,archivo,sprite
0,Imagenes/Fondos/Niveles/Nivel2/Puzzle1/cuerpo-humano,cuerpo-humano_0
1,Imagenes/Fondos/Niveles/Nivel2/Puzzle1/cuerpo-humano,cuerpo-humano_1
2,Imagenes/Fondos/Niveles/Nivel2/Puzzle1/cuerpo-humano,cuerpo-humano_2
3,Imagenes/Fondos/Niveles/Nivel2/Puzzle1/cuerpo-humano,cuerpo-humano_3
4,Imagenes/Fondos/Niveles/Nivel2/Puzzle1/cuerpo-humano,cuerpo-humano_4
5,Imagenes/Fondos/Niveles/Nivel2/Puzzle1/cuerpo-humano,cuerpo-humano_5
6,Imagenes/Fondos/Niveles/Nivel2/Puzzle1/cuerpo-humano,cuerpo-humano_6
7,Imagenes/Fondos/Niveles/Nivel2/Puzzle1/cuerpo-humano,cuerpo-humano_7
8,Imagenes/Fondos/Niveles/Nivel2/Puzzle1/cuerpo-humano,cuerpo-humano_8
9,Imagenes/Fondos/Niveles/Nivel2/Puzzle1/cuerpo-humano,cuerpo-humano_9
10,Imagenes/Fondos/Niveles/Nivel2/Puzzle1/cuerpo-humano,cuerpo-humano_10
11,Imagenes/Fondos/Niveles/Nivel2/Puzzle1/cuerpo-humano,cuerpo-humano_11
12,Imagenes/Fondos/Niveles/Nivel2/Puzzle1/cuerpo-humano,cuerpo-humano_12
