id,nombre,sprite
0,presentacion,Imagenes/Fondos/33784
1,brazo,Imagenes/Fondos/musculos/brazo
2,bicep_triceps,Imagenes/Fondos/musculos/brazo2
3,triceps,Imagenes/Fondos/musculos/triceps
4,espalda,Imagenes/Fondos/Niveles/Nivel2/Puzzle1/diapo1
5,trapecio,Imagenes/Fondos/Niveles/Nivel2/Puzzle1/1
6,dorsal,Imagenes/Fondos/Niveles/Nivel2/Puzzle1/2
7,lumbar,Imagenes/Fondos/Niveles/Nivel2/Puzzle1/3
8,recto_abdominal,Imagenes/Fondos/Niveles/Nivel 3/recto_abdominal
9,oblicuos,Imagenes/Fondos/Niveles/Nivel 3/oblícuos
10,news,Imagenes/Fondos/8283688
11,pectoral,Imagenes/Fondos/musculos/Pectoral
12,gluteo,Imagenes/Fondos/Niveles/Nivel6/11
13,cuadriceps,Imagenes/Fondos/Niveles/Nivel6/12
14,gemelo,Imagenes/Fondos/Niveles/Nivel6/13
15,levantar,Imagenes/Fondos/Niveles/Nivel7/14
16,sevillanas,Imagenes/Fondos/Niveles/Nivel7/sevillana
17,parejas,Imagenes/Fondos/Niveles/Nivel8/8534216
18,alas,Imagenes/Fondos/Niveles/Nivel9/alas
19,isquios,Imagenes/Fondos/Niveles/Nivel6/isquios
20,salto,Imagenes/Fondos/Niveles/Nivel13/salto
21,cuadrisquios,Imagenes/Fondos/Niveles/Nivel13/cuadrisquios
22,cometa,Imagenes/Fondos/Niveles/Nivel14/volar_cometa
23,chocar,Imagenes/Fondos/Niveles/Nivel14/chocar
24,abdomen,Imagenes/Fondos/Niveles/Nivel17/black-colored-clothes-doing-abs-floor-gym-beautiful-female-fitness-woman
25,espalda,Imagenes/Fondos/Niveles/Nivel21/Espalda
26,niño_agachado,Imagenes/Fondos/Niveles/Nivel21/agachado
27,puzle,Imagenes/Fondos/Niveles/Nivel2/nivel2
28,idea,Imagenes/Fondos/Niveles/Nivel4/nivel4
29,cajas,Imagenes/Fondos/Niveles/Nivel12/nivel12
30,triceps,Imagenes/Fondos/Niveles/Nivel14/nivel14
31,beisbol,Imagenes/Fondos/Niveles/Nivel18/nivel18
32,adivinanza,Imagenes/Fondos/Niveles/Nivel20/nivel20
33,graduacion,Imagenes/Fondos/Niveles/Nivel22/nivel22
